Feature,Importance
Month,6.000216953698974
Away_GA,5.9676349640321265
Strength_Ratio,5.7185341334063455
Away_Form_GA,5.437845734269043
Form_Diff,4.341854190192454
Is_Close_Match,3.9351013651246727
Year,3.9068126366227425
Home_GD,3.5768754940269156
Home_Form_GA,3.45597010920799
Away_Form_Pts,3.325658546552613
Home_GA,3.2655224302005355
Away_Gls,3.240910329925022
AwayTeam,3.2382619835394095
Home_Form_GF,3.1756030962601933
Home_H_Pts_MP,3.1678022741996825
Strength_Diff,3.1517735809387166
Away_Form_GF,3.1199945924689114
Home_Pts_MP,2.981684691861962
Home_Form_Pts,2.7769361741968166
Home_Strength,2.7725378088140338
Home_Rk,2.7633765746460184
Away_A_Pts_MP,2.746695411883347
Rank_Gap,2.7137349291704878
Away_Rk,2.5776705730380414
Away_Strength,2.436228174261017
HomeTeam,2.2820170050470754
Away_GD,2.2432743245769315
DayOfWeek,2.03189955306707
Home_Gls,1.9177285073528578
Away_Pts_MP,1.729843857417999
