,name,test_acc,cv_score,home_recall,draw_recall,away_recall,time
CatBoost,CatBoost,0.49572649572649574,0.48474239431194527,0.5595238095238095,0.3448275862068966,0.5208333333333334,212.80656170845032
PyTorch_NN,PyTorch_NN,0.5042735042735043,0.4853787493645145,0.6071428571428571,0.1724137931034483,0.625,91.18113303184509
Context_Stacking,Context_Stacking,0.4843304843304843,0.5068047788510421,0.5535714285714286,0.20689655172413793,0.6145833333333334,1150.7339205741882
Soft_Voting,Soft_Voting,0.5470085470085471,0.5246390442297917,0.7619047619047619,0.12643678160919541,0.5520833333333334,210.62961196899414
